image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as2.ftcdn.net/jpg/02/68/18/17/500_F_268181702_MOZjqnYzCGnent401LCuRbYljdVPlbfy.jpg;Lost Coast Milky Way and Campfire;Nathan Yan\Stocksy;jpeg;4997x3225;1716x1107;Astrofotografia;1120.99;538.99;88
https://as2.ftcdn.net/jpg/02/00/25/17/500_F_200251733_rmq8sQVr6yp0MT1qSpYs8rOZWDjOpjwX.jpg;Night sky with Milky Way and stars;WWC;jpeg;7892x5262;1688x1126;Astrofotografia;1120.99;538.99;8
https://as1.ftcdn.net/jpg/02/68/85/46/500_F_268854607_EhwXK0sOzfTDmrUkdmBiZto9S5EY5G39.jpg;Milky way in Pyrenees  Spain;CACTUS Creative Studio\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;63
https://as2.ftcdn.net/jpg/03/68/28/15/500_F_368281523_Pt0WTVKTwE7u7fgXaMAU3XVCu63YwvzC.jpg;Person with a torch at night;Rosalie Dibben\Austockphoto;jpeg;5472x3648;1688x1125;Astrofotografia;1120.99;538.99;83
https://as1.ftcdn.net/jpg/03/59/99/90/500_F_359999043_X72Ux3MUVTdZMR7q2yBtwNxsvtUQlLu8.jpg;Blood moon setting  planet mars and a universe of stars shining brightly above the rustic chapel;Leah-Anne Thompson\Austockphoto;jpeg;5632x3840;1669x1138;Astrofotografia;1120.99;538.99;45
https://as1.ftcdn.net/jpg/02/37/31/36/500_F_237313671_siARqhqsnhrmEO23LDBBueqrTC82GNoz.jpg;The end of the Heart nebula in mono;Sara Wager\Stocksy;jpeg;4271x6000;1163x1634;Astrofotografia;1120.99;538.99;80
https://as2.ftcdn.net/jpg/01/76/02/21/500_F_176022148_o1XzyOhrpTfJMEr97qGO1izkmZq15X1j.jpg;Milky Way Galaxy Above Trees;Evan Dalen\Stocksy;jpeg;5760x3840;1688x1125;Astrofotografia;1120.99;538.99;86
https://as1.ftcdn.net/jpg/02/09/16/10/500_F_209161038_Ew50Kssn2QbjXnqKmZ2L3ZoVuUMapypt.jpg;Night photography in Yosemite National Park;danielinskeep\Stocksy;jpeg;6088x3425;1838x1034;Astrofotografia;1120.99;538.99;97
https://as2.ftcdn.net/jpg/03/72/61/07/500_F_372610720_qbE99juPCOzVBqRKPOiBiirdko8vVdeB.jpg;Man observing the night sky with the Milky Way in the background;Marcos Osorio\ADDICTIVE STOCK;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;2
https://as2.ftcdn.net/jpg/03/69/10/75/500_F_369107545_oNIu6XVI8jgksfAuSojUHlTIFcsg18yf.jpg;Details of Milky Way.;Javier Pardina\Stocksy;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;72
https://as1.ftcdn.net/jpg/02/64/47/52/500_F_264475211_N4TB6J6qg8lX5QgSBZ7xaVz4SGGPHerV.jpg;Milky Way astrophotography from the forest;Benjamin Irwin\Scopio;jpeg;3276x4096;1233x1541;Astrofotografia;2240.99;1120.99;90
https://as2.ftcdn.net/jpg/02/32/60/73/500_F_232607334_JonjCq9hpUNi0LwCaEUKXAJ5k3xfIV3R.jpg;IC1318 the Butterfly nebula in colour;Stocksy;jpeg;7473x8000;1332x1426;Astrofotografia;1120.99;538.99;53
https://as1.ftcdn.net/jpg/02/15/30/76/500_F_215307691_Di4vHqVM74pfhBmEXskV5DHoRPfKgsqk.jpg;Night photography in Yosemite National Park;Daniel Inskeep\Stocksy;jpeg;6720x4480;1688x1125;Astrofotografia;1120.99;538.99;78
https://as2.ftcdn.net/jpg/02/70/68/21/500_F_270682189_iOEdClStLOzzBbO1FxUeTCcSg1XSIKAq.jpg;Milky Way Galaxy;AD Photography\Stocksy;jpeg;3840x5760;1125x1688;Astrofotografia;1120.99;538.99;28
https://as2.ftcdn.net/jpg/02/81/32/49/500_F_281324952_PWFeVdwZliLUJZus4DttOL0R7BaHjgGz.jpg;panorama shot of a family sitting at a bonfire under the milky way with a camping truck;Akela - from alp to alp\Stocksy;jpeg;8491x4671;1858x1022;Astrofotografia;1120.99;538.99;35
https://as1.ftcdn.net/jpg/02/08/84/48/500_F_208844861_xnxb14TrMhMkPEylCPd9FwF1EYTmVoEI.jpg;The Milky Way Over Trees in Acadia National Park;lestaylorphoto\Stocksy;jpeg;6016x4016;1687x1126;Astrofotografia;1120.99;538.99;43
https://as2.ftcdn.net/jpg/02/84/90/91/500_F_284909103_rGB0uo8ILJuqjuv5eUbmKPLMTDfXr9HZ.jpg;Joshua Trees silhouetted against the night sky in Joshua Tree National Park  California  USA;Tandem Stock;jpeg;5625x3750;1688x1125;Astrofotografia;1120.99;538.99;100
https://as1.ftcdn.net/jpg/02/77/94/66/500_F_277946654_s5TK0XDGckIcVdNLNydnwtTYTmF8Cqsu.jpg;Long-exposure of clouds during starry night   foreground observatory;Cavan Images;jpeg;4839x4839;1378x1378;Astrofotografia;1120.99;538.99;89
https://as2.ftcdn.net/jpg/02/93/18/41/500_F_293184172_KT5DHe3SzZm2RYRk14aVugXroWJjhdds.jpg;Illuminated village street at night  Lauterbrunnen Valley  Bern  Switzerland;RooM The Agency;jpeg;4896x3264;1688x1125;Astrofotografia;1120.99;538.99;73
https://as1.ftcdn.net/jpg/03/80/71/32/500_F_380713258_A6tsrniHjkL5nwcdbVthBw2vTgTWzjyz.jpg;Night sky;Nicolai Perjesi Photography\Stocksy;jpeg;6000x4000;1688x1125;Astrofotografia;1120.99;538.99;64
https://as1.ftcdn.net/jpg/02/78/29/90/500_F_278299026_ACvTz0ZCRcQS1aHpCaN4PzZleaD800r0.jpg;Galactic Core;Nathan Yan\Stocksy;jpeg;5616x3744;1688x1125;Astrofotografia;1120.99;538.99;49
https://as2.ftcdn.net/jpg/01/87/52/03/500_F_187520356_uZ4KW8kgdgyn7qAsqdYVFKV0NxBnjOUU.jpg;Starry Night Sky;Luke Gram\Stocksy;jpeg;3496x3881;1308x1452;Astrofotografia;1120.99;538.99;13
https://as1.ftcdn.net/jpg/02/70/64/90/500_F_270649037_qaVomVw3vIj7mWSb675Wd318yt8nBw1s.jpg;Star gazing;BORISLAV ZHUYKOV\Stocksy;jpeg;4000x6000;1125x1688;Astrofotografia;1120.99;538.99;16
https://as2.ftcdn.net/jpg/03/68/28/17/500_F_368281701_h5rAkaU0yQCvtnQH31ZiuMo7SNEQXmr5.jpg;Milky Way with aurora;Rosalie Dibben\Austockphoto;jpeg;5472x3648;1688x1125;Astrofotografia;1120.99;538.99;77
https://as2.ftcdn.net/jpg/01/79/17/47/500_F_179174762_owDOna18xB5NU4enZDd6BftRsgfI6DCk.jpg;Path To The Stars;Michael Shainblum\Stocksy;jpeg;5760x3840;1688x1125;Astrofotografia;1120.99;538.99;57
https://as2.ftcdn.net/jpg/02/15/89/65/500_F_215896505_qexabcORheBb0rMuxBa02vanO80zYu7E.jpg;The Milky Way Over The Forest;Leslie Taylor\Stocksy;jpeg;4016x6016;1126x1687;Astrofotografia;1120.99;538.99;49
https://as2.ftcdn.net/jpg/02/68/18/83/500_F_268188380_ivQwBImkTsqHP87XuHMlmT0csUNiSRr0.jpg;Pink light flares underneath milky way galaxy night sky.;Justin Mullet\Stocksy;jpeg;3496x5244;1125x1688;Astrofotografia;1120.99;538.99;104
https://as2.ftcdn.net/jpg/01/73/05/79/500_F_173057912_k8FksCs8SSi6iqOmyuNwGDv5JAOon9PO.jpg;Grassy Hill Under Milky Way Galaxy;Evan Dalen\Stocksy;jpeg;3630x5414;1129x1683;Astrofotografia;1120.99;538.99;59
https://as2.ftcdn.net/jpg/03/72/61/09/500_F_372610989_oohR8aJt90mGU5LxJvQhUjFbrqtmCZbr.jpg;Man observing the night sky with the Milky Way in the background;Marcos Osorio\ADDICTIVE STOCK;jpeg;4480x6720;1125x1688;Astrofotografia;1120.99;538.99;61
