image;title;author;format;duzy_rozmiar;maly_rozmiar;kategoria;cena_duzy;cena_maly;ilosc(quantity)
https://as1.ftcdn.net/jpg/02/68/19/72/500_F_268197268_zBvOCJH5UfeHYeOsNVz06PtbXL9zVCWK.jpg;Spring trees in austria  shot in Infrared IR;Robert Kohlhuber\Stocksy;jpeg;6000x4000;1688x1125;Niebo;1120.99;538.99;42
https://as2.ftcdn.net/jpg/03/88/15/73/500_F_388157315_PwgY12mdi39FUXTggVQwepR4HWjP7eLM.jpg;Wheat field on the prairies.;Todd Korol\Stocksy;jpeg;6720x4480;1688x1125;Niebo;1120.99;538.99;88
https://as1.ftcdn.net/jpg/03/88/16/06/500_F_388160606_7e4Px7V2Bxr4Se9SzJIk0hKTI1YWiRzg.jpg;Red clouds;AD Photography\Stocksy;jpeg;6553x4447;1673x1136;Niebo;1120.99;538.99;16
https://as2.ftcdn.net/jpg/03/85/15/95/500_F_385159531_tSo3BPshSJ0THCWTrnV8lAp3NLL7Jwc3.jpg;Pyramid Mountain;Paul Tessier\Stocksy;jpeg;9793x3456;2320x819;Niebo;1120.99;538.99;103
https://as2.ftcdn.net/jpg/02/96/37/77/500_F_296377737_7TTq4vP04CHtOTv4SQBpUqFGuK5x0D0y.jpg;View of sand dune against cloudy sky;Ryan Neeven;jpeg;4000x6000;1125x1688;Niebo;1120.99;538.99;28
https://as1.ftcdn.net/jpg/03/84/86/70/500_F_384867063_0g8EliAmBVtKpiay6WS15kSTHfoTtifk.jpg;Arctic view from adventure ship;Reo FUKUMOTO\Stocksy;jpeg;6720x4480;1688x1125;Niebo;1120.99;538.99;35
https://as2.ftcdn.net/jpg/02/57/54/83/500_F_257548395_8yQ5aNrceLcpXtRlJsXgKUt80jf7BwgA.jpg;Night time reflecting in Minnestimma Lake  Banff  Alberta  Canada;Cavan Images;jpeg;6000x4109;1666x1141;Niebo;1120.99;538.99;104
https://as2.ftcdn.net/jpg/03/66/16/39/500_F_366163902_YmxBvjBTnmRZ4wj7GPrEdSztD5HrTB0r.jpg;Power pylons in winter landscape;Westend61;jpeg;4222x6333;1125x1688;Niebo;2240.99;1120.99;97
https://as1.ftcdn.net/jpg/03/91/37/24/500_F_391372476_PNBthEZCL2Hs55YIqwzbyHBZ0bQvEURT.jpg;Aiguille Verte and Reflection;Nathan Yan\Stocksy;jpeg;5389x3408;1733x1096;Niebo;1120.99;538.99;92
https://as2.ftcdn.net/jpg/03/88/89/37/500_F_388893752_mTHIHNCHUizQx3N5FoiGCnaoxS01zC2b.jpg;Aurora borealis over a snowy mountain;Sergey Lukankin\Stocksy;jpeg;3870x3840;1384x1373;Niebo;1120.99;538.99;38
https://as2.ftcdn.net/jpg/02/61/09/59/500_F_261095914_mYufZ2b59XDMqANSmsvVPBrCuG9Vg5dJ.jpg;Monument Valley at Sunset  Arizona  USA;Dave and Les Jacobs\Stocksy;jpeg;5147x3435;1687x1126;Niebo;1120.99;538.99;21
https://as2.ftcdn.net/jpg/02/03/90/61/500_F_203906193_rs95RTEPWISLZVpBI2hyvXtvkke3mVfU.jpg;View of landscape against cloudy sky;Brian Park;jpeg;4875x3250;1688x1125;Niebo;1120.99;538.99;76
https://as2.ftcdn.net/jpg/02/29/96/73/500_F_229967347_T5r6ZB9vdP5OBI71IyCPbpSI8a9OT3dn.jpg;Heather covered moorland at sunset;Stocksy;jpeg;2604x3914;1124x1690;Niebo;1120.99;538.99;48
https://as1.ftcdn.net/jpg/03/85/16/30/500_F_385163007_lxeKRpk1BBSg2gz6GNmZ2fUVcYA44P4g.jpg;Layers Of Mountains At Sunrise;Laura Austin\Stocksy;jpeg;5430x3620;1688x1125;Niebo;1120.99;538.99;17
https://as2.ftcdn.net/jpg/03/88/89/45/500_F_388894502_PxJbKhGGLYdarVIUZwMb6qJ669RATbhi.jpg;Sunrise over Mountains;Scott Snyder Photography\Stocksy;jpeg;6000x4000;1688x1125;Niebo;1120.99;538.99;54
